gene,ensembl,description,condition,nTPM,log2FC_vs_healthy,source
GKN1,ENSG00000169605,Gastrokine 1,Healthy,35310.8,0.0,HPA stomach nTPM
GKN1,ENSG00000169605,Gastrokine 1,H_pylori,34108.0,-0.05,HPA baseline x GSE60427 log2FC
TFF1,ENSG00000160182,Trefoil factor 1,Healthy,7508.8,0.0,HPA stomach nTPM
TFF1,ENSG00000160182,Trefoil factor 1,H_pylori,7405.4,-0.02,HPA baseline x GSE60427 log2FC
PGC,ENSG00000096088,Progastricsin,Healthy,57583.8,0.0,HPA stomach nTPM
PGC,ENSG00000096088,Progastricsin,H_pylori,46449.5,-0.31,HPA baseline x GSE60427 log2FC
ATP4B,ENSG00000186009,ATPase H+/K+ transporting subunit beta,Healthy,1001.8,0.0,HPA stomach nTPM
ATP4B,ENSG00000186009,ATPase H+/K+ transporting subunit beta,H_pylori,2553.7,1.35,HPA baseline x GSE60427 log2FC
MUC5AC,ENSG00000215182,"Mucin 5AC, oligomeric mucus/gel-forming",Healthy,174.8,0.0,HPA stomach nTPM
MUC5AC,ENSG00000215182,"Mucin 5AC, oligomeric mucus/gel-forming",H_pylori,116.9,-0.58,HPA baseline x GSE60427 log2FC
ANGPTL4,ENSG00000167772,Angiopoietin like 4,Healthy,21.0,0.0,HPA stomach nTPM
ANGPTL4,ENSG00000167772,Angiopoietin like 4,H_pylori,53.5,1.35,HPA baseline x GSE60427 log2FC
CXCL8,ENSG00000169429,C-X-C motif chemokine ligand 8,Healthy,10.8,0.0,HPA stomach nTPM
CXCL8,ENSG00000169429,C-X-C motif chemokine ligand 8,H_pylori,68.3,2.66,HPA baseline x GSE60427 log2FC
LCN2,ENSG00000148346,Lipocalin 2,Healthy,343.0,0.0,HPA stomach nTPM
LCN2,ENSG00000148346,Lipocalin 2,H_pylori,6436.5,4.23,HPA baseline x GSE60427 log2FC
